"wavenumber" "waveplate" "signal"
638.343 "70" 0.0250746283444832
638.343 "80" 0.0220011151945655
638.343 "90" 0.0129314688003836
643.194 "0" 0.0120698037377703
643.194 "10" 0.0235807627197163
643.194 "20" 0.0160901546417255
643.194 "30" 0.0222026208908881
643.194 "40" 0.0216366813152117
643.194 "50" 0.0201808942076295
643.194 "60" 0.0144406032690256
643.194 "70" 0.0127437476742785
643.194 "80" 0.00865094703392726
643.194 "90" 0.00431802639020161
648.044 "0" 0.0123222340340094
648.044 "10" 0.0145658824302252
648.044 "20" 0.0113294316002648
648.044 "30" 0.0120633767053032
648.044 "40" 0.0121148863688302
648.044 "50" 0.00451655866889814
648.044 "60" 0.00837423524901682
648.044 "70" 0.00799282766445885
648.044 "80" 0.00418020783211518
648.044 "90" 0.00773017670423039
652.89 "0" 0.0165086590268185
652.89 "10" 0.0199347511591896
652.89 "20" 0.0141073672033534
652.89 "30" 0.0144770469083461
652.89 "40" 0.0178171699774003
652.89 "50" 0.0111270025769192
652.89 "60" 0.0116265921413748
652.89 "70" 0.00867692318743354
