"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 2001.79 -0.00181703822768897 0 45
"Mit Mikroskop" 2005.92 0.0284974708494623 0 45
"Mit Mikroskop" 2010.05 0.0127817964744714 0 45
"Mit Mikroskop" 2014.17 0.00691845298854488 0 45
"Mit Mikroskop" 2018.3 0.0030608369266516 0 45
"Mit Mikroskop" 2022.42 0.0154525386313467 0 45
"Mit Mikroskop" 2026.54 -0.011456850383025 0 45
"Mit Mikroskop" 2030.66 -0.0280299950309435 0 45
"Mit Mikroskop" 2034.78 -0.0232474884210054 0 45
"Mit Mikroskop" 2038.89 -0.0195934851107266 0 45
"Mit Mikroskop" 2043.01 2.19702961594681e-05 0 45
"Mit Mikroskop" 2047.12 0.00610479160261757 0 45
"Mit Mikroskop" 2051.23 0.0198672475536597 0 45
"Mit Mikroskop" 2055.33 0.00731928285332839 0 45
"Mit Mikroskop" 2059.44 -0.00471898447454111 0 45
"Mit Mikroskop" 2063.54 0.00564842552996869 0 45
"Mit Mikroskop" 2067.64 -0.00768504786301749 0 45
"Mit Mikroskop" 2071.74 0.000791939812574416 0 45
"Mit Mikroskop" 2075.83 0.00126372668642172 0 45
"Mit Mikroskop" 2079.93 0.0151203501094093 0 45
"Mit Mikroskop" 2084.02 0.0299493844351613 0 45
"Mit Mikroskop" 2088.11 0.0346234919495896 0 45
"Mit Mikroskop" 2092.19 0.00844115561857506 0 45
"Mit Mikroskop" 2096.28 0.00506166836125743 0 45
"Mit Mikroskop" 2100.36 -0.0214149056439691 0 45
"Mit Mikroskop" 2104.44 -0.0326800216567406 0 45
"Mit Mikroskop" 2108.52 0.0133668431119611 0 45
"Mit Mikroskop" 2112.6 0.0504681434117378 0 45
"Mit Mikroskop" 2116.68 0.0474800999089615 0 45
"Mit Mikroskop" 2120.75 0.0231111958256891 0 45
"Mit Mikroskop" 2124.82 0.00346260387811625 0 45
"Mit Mikroskop" 2128.89 -0.0593134079763117 0 45
"Mit Mikroskop" 2132.96 -0.0774167669474528 0 45
"Mit Mikroskop" 2137.02 -0.00950698850875464 0 45
"Mit Mikroskop" 2141.08 0.0139489407930473 0 45
"Mit Mikroskop" 2145.14 -0.0115743221519666 0 45
"Mit Mikroskop" 2149.2 -0.0219695549863603 0 45
"Mit Mikroskop" 2153.26 0.0153414135574321 0 45
"Mit Mikroskop" 2157.31 0.0566212804522799 0 45
"Mit Mikroskop" 2161.37 0.0444669365721999 0 45
"Mit Mikroskop" 2165.42 0.0213900165053307 0 45
"Mit Mikroskop" 2169.46 -0.0106488743565384 0 45
"Mit Mikroskop" 2173.51 -0.00123128339306533 0 45
"Mit Mikroskop" 2177.55 0.005869964600977 0 45
"Mit Mikroskop" 2181.6 0.018376195829223 0 45
"Mit Mikroskop" 2185.64 0.0143497963107062 0 45
"Mit Mikroskop" 2189.67 -0.0104309203885237 0 45
"Mit Mikroskop" 2193.71 -0.00309752852125733 0 45
"Mit Mikroskop" 2197.74 -0.00975331104811061 0 45
"Mit Mikroskop" 2201.78 -0.00877283945496399 0 45
"Mit Mikroskop" 2205.81 -0.0109854141521593 0 45
"Mit Mikroskop" 2209.83 0.00871825307492369 0 45
"Mit Mikroskop" 2213.86 0.0558016318745362 0 45
"Mit Mikroskop" 2217.88 0.0564894448788114 0 45
"Mit Mikroskop" 2221.9 0.0344643391308064 0 45
"Mit Mikroskop" 2225.92 0.015302544047948 0 45
"Mit Mikroskop" 2229.94 0.00463665121116286 0 45
"Mit Mikroskop" 2233.96 0.0351790082277075 0 45
"Mit Mikroskop" 2237.97 0.0139005419624028 0 45
"Mit Mikroskop" 2241.98 -0.0313338907714651 0 45
"Mit Mikroskop" 2245.99 -0.00406154639618339 0 45
"Mit Mikroskop" 2250 0.0156916578669481 0 45
"Mit Mikroskop" 2254.01 0.0232836196589263 0 45
"Mit Mikroskop" 2258.01 0.0396896640164144 0 45
"Mit Mikroskop" 2262.01 0.0387129101128492 0 45
"Mit Mikroskop" 2266.01 0.0181925395300078 0 45
"Mit Mikroskop" 2270.01 -0.0158486380409973 0 45
"Mit Mikroskop" 2274 -0.0187475153265124 0 45
"Mit Mikroskop" 2278 -0.0082823490240147 0 45
